,name,rcode,code,total_amt,deliver_amt,area,technical,funds,message,trade,basic,total_num,point_num,dt
344,长航凤凰,000520.SZ,520,5910567400,5910567400,港口航运,4.4,3.3,5.8,5.8,5,24.3,73,2018/4/9
345,涪陵榨菜,002507.SZ,2507,10758939200,6186957400,食品加工制造,9,7.6,6.8,7.2,7,37.6,73,2018/4/9
346,宏润建设,002062.SZ,2062,6515775000,5567215600,建筑装饰,2.7,5.1,6,6.5,5.5,25.8,73,2018/4/9
347,建艺集团,002789.SZ,2789,3695412000,1688637200,建筑装饰,7.6,4.7,5.5,3,6.4,27.2,73,2018/4/9
348,天马精化,002453.SZ,2453,4587539000,4332013900,化学制品,6.4,3.2,6,7.2,5.3,28.1,73,2018/4/9
349,格力电器,000651.SZ,651,2.30E+11,2.28E+11,白色家电,3.9,3.5,5,5.8,7.6,25.8,73,2018/4/9
350,中南建设,000961.SZ,961,22518418000,22458109000,房地产开发,8.2,6.9,5.5,6.3,5.7,32.6,73,2018/4/9
351,哈尔斯,002615.SZ,2615,4153248000,2339418900,家用轻工,2.6,4.3,5.3,6.2,6.6,25,73,2018/4/9
352,通达股份,002560.SZ,2560,3484627800,2309036600,电气设备,3.7,2.3,5.9,6.5,4.8,23.2,73,2018/4/9
353,泛海控股,000046.SZ,46,42660807000,41813058000,房地产开发,8.2,6.4,5.5,6.3,4.9,31.3,73,2018/4/9
354,兄弟科技,002562.SZ,2562,8987206500,5090510700,化学制品,2.9,2.6,6.4,7.2,7,26.1,73,2018/4/9
355,高新发展,000628.SZ,628,3233162400,1951235900,综合,2.6,2.3,5.8,6.3,6.2,23.2,73,2018/4/9
356,爱尔眼科,300015.SZ,300015,34747542000,27315250000,医疗器械服务,6.5,4,5.6,8,6.6,30.7,73,2018/4/9
357,比亚迪,002594.SZ,2594,1.32E+11,55266065000,汽车整车,4.7,4.7,5.1,5.4,5.8,25.7,73,2018/4/9
358,奥维通信,002231.SZ,2231,3774944000,3056826500,通信设备,6.7,4.6,6.5,6.8,4.1,28.7,73,2018/4/9
359,中国重汽,000951.SZ,951,11462060100,11457996400,汽车整车,4.2,5.9,6.4,5.4,6.5,28.4,73,2018/4/9
360,碧水源,300070.SZ,300070,60574165000,37133208000,环保工程,7.8,4.8,4.9,7,6.3,30.8,73,2018/4/9
361,金发拉比,002762.SZ,2762,4349450000,1087358850,服装家纺,6.1,3.9,6.6,3,5.1,24.7,73,2018/4/9
362,友阿股份,002277.SZ,2277,9165435600,9165435600,零售,6,4.6,7.1,5.7,5.9,29.3,73,2018/4/9
363,永安林业,000663.SZ,663,4494231100,2494667200,家用轻工,5.5,1.9,6.9,6.2,5.1,25.6,73,2018/4/9
364,深圳机场,000089.SZ,89,18046772000,18046772000,机场航运,3.5,4.9,6.1,5.8,5.8,26.1,73,2018/4/9
365,国际实业,000159.SZ,159,3185142100,3185142100,基础化学,5.4,4.7,5.5,6,4.8,26.4,73,2018/4/9
366,越秀金控,000987.SZ,987,24929139000,6034424300,零售,5.8,5.7,6.2,5.5,4.1,27.3,73,2018/4/9
367,澳洋顺昌,002245.SZ,2245,8865793100,8166683500,物流,2.7,2.9,6,7.4,6.5,25.5,73,2018/4/9
368,沪电股份,002463.SZ,2463,7583943700,7580819700,半导体及元件,2.5,3.9,5.9,8,6.8,27.1,73,2018/4/9
369,东江环保,002672.SZ,2672,14171976000,8662426500,环保工程,7.4,5.8,6.3,7,5.7,32.2,73,2018/4/9
370,金禾实业,002597.SZ,2597,11704000700,11599318500,化学制品,4.2,2.2,6.4,7.2,6.5,26.5,73,2018/4/9
371,北玻股份,002613.SZ,2613,4395327300,2351238000,专用设备,8.2,3.6,9.1,7,5,32.9,73,2018/4/9
372,南京公用,000421.SZ,421,4071519700,2789317700,燃气水务,2.8,4.8,6,6.4,5.6,25.6,73,2018/4/9
373,漳州发展,000753.SZ,753,4709535100,3891937700,交运设备服务,6.2,3.6,4.1,6,5,24.9,73,2018/4/9
374,凌霄泵业,002884.SZ,2884,4068724400,1017312400,通用设备,8.3,3.7,7.7,3.4,6.1,29.2,73,2018/4/9
375,步 步 高,002251.SZ,2251,10617379600,9088708700,零售,5.1,5.3,5.5,5.7,5.7,27.3,73,2018/4/9
376,英科医疗,300677.SZ,300677,3592992400,898248110,医疗器械服务,2.6,2.8,6.1,4.5,6.6,22.6,73,2018/4/9
377,帝龙文化,002247.SZ,2247,10491848100,6431621700,家用轻工,5.4,5.1,6.7,6,6.1,29.3,73,2018/4/9
378,阳光股份,000608.SZ,608,5646847200,5646008000,房地产开发,4.5,5.5,6.4,6.3,6.1,28.8,73,2018/4/9
379,金通灵,300091.SZ,300091,7879300000,5422736800,通用设备,8.4,6.8,7.7,6.9,6.9,36.7,73,2018/4/9
380,齐星铁塔,002359.SZ,2359,24206005000,15764920000,通信服务,3.7,4.2,6.9,6,5.5,26.3,73,2018/4/9
381,中金岭南,000060.SZ,60,30223336000,28080836000,有色冶炼加工,4.4,2.8,6.4,6.6,6.5,26.7,73,2018/4/9
382,长城影视,002071.SZ,2071,5359384800,5179098200,传媒,6.3,3.4,5.5,6,5.7,26.9,73,2018/4/9
383,雷曼股份,300162.SZ,300162,3571992500,2238177900,光学光电子,5.6,3.9,4.7,6.8,4.5,25.5,73,2018/4/9
384,万 家 乐,000533.SZ,533,7177578200,7116135900,白色家电,2.2,4.5,5.3,6.5,6.3,24.8,73,2018/4/9
385,仙琚制药,002332.SZ,2332,7256400400,5411221400,化学制药,7.9,6.2,8.1,8.1,6,36.3,73,2018/4/9
386,新 和 成,002001.SZ,2001,24043332000,23693803000,化学制药,3.5,2.7,6.4,8.1,6.2,26.9,73,2018/4/9
387,华联控股,000036.SZ,36,12602024300,12535701500,房地产开发,5.7,3.5,5,6.3,7.5,28,73,2018/4/9
