rcode	    名称	现价	总市值	流通市值	所属行业
000798	中水渔业	9.51	3038017100	3037246200	养殖业
600742	一汽富维	19.69	8329791500	8329791500	汽车零部件
000635	英 力 特	19.14	5801096700	5801096700	基础化学
600628	新世界	12.13	7846598400	6450725100	零售
000962	东方钽业	10.22	4505309600	4505293400	新材料
002383	合众思壮	15.99	11723038100	6304202800	计算机设备
300463	迈克生物	25.64	14307120000	7640219600	生物制品
600612	老凤祥	44.3	23174117000	14047957000	家用轻工
000785	武汉中商	10.92	2743340900	2741943200	零售
600070	浙江富润	10.94	5710090500	3901346800	纺织制造
002785	万里石	18.72	3744000000	1808062700	建筑材料
600073	上海梅林	9.7	9095975900	9095975900	食品加工制造
002529	海源机械	17.49	4547400000	3498000000	专用设备
600272	开开实业	13.61	3307230000	2177600000	服装家纺
600861	北京城乡	12.33	3906205000	3906205000	零售
000068	华控赛格	7.14	7187634300	6402234300	综合
002018	华信国际	7.17	16332023000	16332023000	化学制品
603817	海峡环保	14.41	6484500000	1621125000	燃气水务
600376	首开股份	11.2	28891131000	28513072000	房地产开发
603885	吉祥航空	15.16	27242724000	8141124300	机场航运
600429	三元股份	6.65	9958756900	5885250000	食品加工制造
600873	梅花生物	6.06	18835853000	18835853000	食品加工制造
600033	福建高速	4.06	11142264000	11142264000	公路铁路运输
600685	中船防务	29.17	41231981000	16024128000	国防军工
002309	中利集团	13.59	8716708500	5926555000	电气设备
300260	新莱应材	12.94	2613103600	1325810170	通用设备
600196	复星医药	30.02	74903834000	57307380000	生物制品
000548	湖南投资	8.19	4088577500	4088456600	公路铁路运输
600190	锦州港	4.78	9570953400	8505936100	港口航运
002119	康强电子	17.76	3662112000	3586188000	半导体及元件
002198	嘉应制药	12.98	6587477800	6039901200	中药
000627	天茂集团	9.57	40760492000	12953784500	保险及其他
002236	大华股份	25.99	75355702000	44232157000	计算机设备
600630	龙头股份	11.65	4949637600	4949637600	服装家纺
600449	宁夏建材	11.67	5580372800	5580372800	建筑材料
002176	江特电机	11.73	17233506000	16195275000	电气设备
002147	新光圆成	16.01	22513464000	6604112500	房地产开发
300058	蓝色光标	7.66	16951720000	12024372800	传媒
600644	乐山电力	7.66	4124149000	2500837800	电力
002552	宝鼎科技	11.85	3555000000	2371765000	通用设备
600195	中牧股份	18.83	8093134000	8093134000	农业服务
601155	新城控股	16.75	37829610000	11803460100	房地产开发
000723	美锦能源	7.69	31574618000	7152686600	煤炭开采
600777	新潮能源	4.2	17015194000	9981755500	石油矿业开采
600692	亚通股份	13.34	4692532600	3401840300	房地产开发
600162	香江控股	3.52	11970363400	6245634500	房地产开发
600036	招商银行	25.42	6.41088E+11	5.24388E+11	银行
002294	信立泰	32.51	34005980000	34005980000	化学制药
002871	伟隆股份	37.55	2553400000	638350000	通用设备
300225	金力泰	14.2	6678828000	6635071300	化学制品
600824	益民集团	5.69	5997414000	5997414000	零售
600007	中国国贸	20.08	20226233000	20226233000	房地产开发
000524	岭南控股	12.95	8679201300	3492246700	酒店及餐饮
000059	华锦股份	11.52	18425578000	16127666000	基础化学
600703	三安光电	20.17	82261831000	82261831000	光学光电子
002210	飞马国际	11.58	19140355000	14917954000	物流
002093	国脉科技	9.45	9520875000	8052429700	通信设备
000965	天保基建	8.03	8101765500	8101765500	房地产开发
002634	棒杰股份	7.35	3388368900	1888624300	服装家纺
002323	雅百特	8.83	6584792900	2412525100	建筑装饰
601127	小康股份	19.93	17787525000	3587400000	汽车整车
002398	建研集团	13.35	4620689900	3417954400	建筑材料
600006	东风汽车	5.96	11920000000	11920000000	汽车整车
600113	浙江东日	13.42	4275612000	4275612000	零售
603818	曲美家居	15.76	7629731200	2074142100	家用轻工
603003	龙宇燃油	15.8	6969610600	3191600000	基础化学
002534	杭锅股份	10.57	7815804700	7620426700	电气设备
300210	森远股份	8.34	4038394400	2936347400	专用设备
300088	长信科技	19.1	21954302000	20997544000	光学光电子
600106	重庆路桥	5.35	5342061700	5342061700	公路铁路运输
000856	冀东装备	30.66	6959820000	6959820000	专用设备
300317	珈伟股份	17.66	15090247000	5651391400	光学光电子
000802	北京文化	18.46	13406579700	7015868100	传媒
603019	中科曙光	26.97	17342356000	10835328200	计算机设备
600170	上海建工	3.86	34370975000	31723467000	建筑装饰
000063	中兴通讯	23.25	97292605000	79615084000	通信设备
002333	罗普斯金	15.54	7810459900	7536429400	建筑材料
600048	保利地产	10.11	1.19889E+11	1.18654E+11	房地产开发
600722	金牛化工	10.92	7429090900	7429090900	基础化学
600329	中新药业	17.99	13832027000	10178167700	中药
600480	凌云股份	21.12	9523729600	7639417400	汽车零部件
300516	久之洋	61.18	7341600000	2149253400	其他电子
000551	创元科技	9.43	3772758200	3772758200	专用设备
600662	强生控股	7.87	8289960400	8289960400	公交
002312	*ST三泰	5.52	7607066400	5573143600	计算机设备
000012	南  玻Ａ	8.7	20763732000	13007787400	建筑材料
600583	海油工程	6.35	28075603000	28075603000	采掘服务
600596	新安股份	11.13	7851264900	7559325000	化学制品
